transaction_id,timestamp,amount,status,category,device_type,region,payment_method,user_id
TXN0000197,2023-01-02 10:45:16,639.19,Success,Utilities,Tablet,South,UPI,USR03753
TXN0000198,2023-01-02 10:57:33,1045.08,Success,Healthcare,Desktop,West,Credit Card,USR03119
TXN0000199,2023-01-02 10:58:16,2440.35,Success,Retail,Tablet,East,UPI,USR00125
TXN0000200,2023-01-02 11:03:03,2438.75,Failed,Electronics,Mobile,South,Wallet,USR04414
TXN0000201,2023-01-02 11:09:07,676.77,Success,Travel,Desktop,South,Credit Card,USR09343
TXN0000202,2023-01-02 11:16:23,756.34,Success,Retail,Tablet,South,UPI,USR00225
TXN0000203,2023-01-02 11:19:03,282.26,Success,Food & Dining,Desktop,North,Debit Card,USR03800
TXN0000204,2023-01-02 11:26:33,27872.86,Success,Retail,Desktop,East,Credit Card,USR02274
TXN0000205,2023-01-02 11:27:33,615.77,Success,Food & Dining,Mobile,West,Net Banking,USR07056
TXN0000206,2023-01-02 11:27:35,239.51,Success,Healthcare,Tablet,East,Wallet,USR09391
TXN0000207,2023-01-02 11:27:46,91.36,Success,Retail,Tablet,South,UPI,USR02068
TXN0000208,2023-01-02 11:39:38,807.67,Success,Retail,Desktop,East,UPI,USR06657
TXN0000209,2023-01-02 11:46:07,2943.09,Success,Healthcare,Mobile,Central,UPI,USR04183
TXN0000210,2023-01-02 12:11:37,1594.33,Success,Electronics,Desktop,East,Credit Card,USR01601
TXN0000211,2023-01-02 12:20:50,1441.13,Success,Travel,Mobile,North,UPI,USR01393
TXN0000212,2023-01-02 12:28:26,4339.62,Success,Food & Dining,Tablet,East,UPI,USR04471
TXN0000213,2023-01-02 12:30:58,3641.94,Success,Entertainment,Desktop,East,Credit Card,USR06200
TXN0000214,2023-01-02 12:41:03,615.17,Success,Electronics,Desktop,South,Debit Card,USR04094
TXN0000215,2023-01-02 12:47:27,2471.86,Success,Food & Dining,Mobile,East,Credit Card,USR02756
TXN0000216,2023-01-02 13:20:01,1964.95,Success,Travel,Desktop,North,UPI,USR07772
TXN0000217,2023-01-02 13:35:11,888.08,Success,Travel,Desktop,South,UPI,USR06124
TXN0000218,2023-01-02 13:50:00,10046.9,Success,Food & Dining,Mobile,South,Credit Card,USR07376
TXN0000219,2023-01-02 13:50:21,711.53,Success,Entertainment,Mobile,North,Net Banking,USR02461
TXN0000220,2023-01-02 13:57:20,904.93,Success,Electronics,Mobile,Central,UPI,USR07187
TXN0000221,2023-01-02 14:12:28,1021.37,Success,Entertainment,Mobile,North,Debit Card,USR09904
TXN0000222,2023-01-02 14:35:06,5497.37,Success,Travel,Mobile,Central,UPI,USR06123
TXN0000223,2023-01-02 14:39:09,6665.83,Success,Travel,Desktop,East,Credit Card,USR06736
TXN0000224,2023-01-02 14:43:15,9141.19,Success,Food & Dining,Desktop,Central,UPI,USR00047
TXN0000225,2023-01-02 14:53:00,4578.47,Success,Travel,Desktop,West,Debit Card,USR03985
TXN0000226,2023-01-02 14:56:59,1603.76,Success,Food & Dining,Desktop,South,Wallet,USR03327
TXN0000227,2023-01-02 14:57:03,5731.74,Failed,Retail,Mobile,South,Credit Card,USR06893
TXN0000228,2023-01-02 14:57:49,2836.36,Success,Healthcare,Mobile,East,Credit Card,USR04028
TXN0000229,2023-01-02 14:59:00,1558.4,Success,Food & Dining,Mobile,East,Credit Card,USR00215
TXN0000230,2023-01-02 15:07:59,1035.88,Success,Utilities,Mobile,South,Credit Card,USR00436
TXN0000231,2023-01-02 15:24:34,1471.18,Success,Travel,Desktop,East,Credit Card,USR09370
TXN0000232,2023-01-02 15:27:40,1020.41,Failed,Utilities,Mobile,East,UPI,USR07137
TXN0000233,2023-01-02 15:40:35,2975.92,Success,Healthcare,Mobile,East,Debit Card,USR03275
TXN0000234,2023-01-02 15:44:08,1400.85,Success,Food & Dining,Mobile,East,Wallet,USR00059
TXN0000235,2023-01-02 15:53:10,3249.04,Failed,Retail,Mobile,West,Debit Card,USR04495
TXN0000236,2023-01-02 15:56:32,3323.08,Success,Retail,Mobile,South,UPI,USR03535
TXN0000237,2023-01-02 15:59:58,1824.29,Failed,Food & Dining,Tablet,East,UPI,USR05866
TXN0000238,2023-01-02 16:05:08,1052.06,Success,Retail,Desktop,East,Net Banking,USR05262
TXN0000239,2023-01-02 16:06:54,608.04,Failed,Electronics,Mobile,Central,Credit Card,USR08297
TXN0000240,2023-01-02 16:16:52,1588.43,Success,Travel,Mobile,North,UPI,USR07462
TXN0000241,2023-01-02 16:21:19,2571.22,Success,Retail,Desktop,South,UPI,USR07408
TXN0000242,2023-01-02 16:24:28,351.48,Success,Travel,Mobile,South,Credit Card,USR07085
TXN0000243,2023-01-02 16:25:48,214.15,Success,Food & Dining,Desktop,South,Debit Card,USR05483
TXN0000244,2023-01-02 16:31:28,1561.05,Success,Electronics,Mobile,South,Debit Card,USR01307
TXN0000245,2023-01-02 16:36:26,617.6,Failed,Utilities,Mobile,North,Net Banking,USR01917
TXN0000246,2023-01-02 16:38:24,6069.31,Success,Retail,Desktop,Central,Credit Card,USR06664
TXN0000247,2023-01-02 16:39:22,8654.94,Success,Utilities,Tablet,South,Credit Card,USR01158
TXN0000248,2023-01-02 16:45:13,537.31,Failed,Electronics,Mobile,West,Wallet,USR05360
TXN0000249,2023-01-02 16:52:29,234.35,Success,Food & Dining,Desktop,West,Credit Card,USR05185
TXN0000250,2023-01-02 16:58:00,3607.54,Success,Entertainment,Mobile,West,UPI,USR01076
TXN0000251,2023-01-02 17:00:40,2308.87,Success,Entertainment,Desktop,South,UPI,USR01632
TXN0000252,2023-01-02 17:26:26,2899.77,Success,Entertainment,Mobile,South,UPI,USR06275
TXN0000253,2023-01-02 17:46:33,4540.51,Success,Food & Dining,Mobile,North,Credit Card,USR02396
TXN0000254,2023-01-02 17:48:27,1094.27,Success,Retail,Desktop,North,Wallet,USR05191
TXN0000255,2023-01-02 17:50:06,1427.3,Success,Travel,Mobile,West,UPI,USR00405
TXN0000256,2023-01-02 17:59:19,4793.22,Success,Utilities,Desktop,East,Credit Card,USR06629
TXN0000257,2023-01-02 18:08:10,3088.1,Success,Travel,Tablet,Central,Net Banking,USR05110
TXN0000258,2023-01-02 18:17:05,21084.96,Failed,Travel,Mobile,South,Net Banking,USR01160
TXN0000259,2023-01-02 18:28:08,2571.69,Success,Electronics,Desktop,North,Wallet,USR08798
TXN0000260,2023-01-02 18:33:16,2460.16,Success,Electronics,Tablet,Central,Credit Card,USR09558
TXN0000261,2023-01-02 18:35:51,5206.4,Success,Entertainment,Mobile,Central,Debit Card,USR05114
TXN0000262,2023-01-02 18:38:38,21571.01,Success,Entertainment,Tablet,Central,UPI,USR03474
TXN0000263,2023-01-02 18:43:35,4263.17,Success,Travel,Desktop,South,UPI,USR08314
TXN0000264,2023-01-02 18:44:16,1281.28,Success,Retail,Mobile,North,UPI,USR03833
TXN0000265,2023-01-02 18:52:21,817.85,Success,Healthcare,Desktop,South,UPI,USR09225
TXN0000266,2023-01-02 19:11:25,2196.67,Success,Electronics,Desktop,South,Credit Card,USR00133
TXN0000267,2023-01-02 19:19:02,483.04,Success,Retail,Desktop,West,Debit Card,USR06829
TXN0000268,2023-01-02 19:37:35,3923.89,Success,Healthcare,Mobile,West,UPI,USR07738
TXN0000269,2023-01-02 20:15:27,2584.14,Failed,Utilities,Desktop,North,UPI,USR01228
TXN0000270,2023-01-02 20:25:31,3367.37,Success,Entertainment,Mobile,Central,Credit Card,USR00423
TXN0000271,2023-01-02 20:40:31,214.19,Success,Retail,Desktop,North,Debit Card,USR01614
TXN0000272,2023-01-02 21:28:21,9103.57,Success,Retail,Desktop,Central,Debit Card,USR02255
TXN0000273,2023-01-02 21:41:22,471.07,Success,Utilities,Desktop,South,UPI,USR06474
TXN0000274,2023-01-02 22:06:27,399.32,Success,Food & Dining,Mobile,North,UPI,USR06019
TXN0000275,2023-01-02 22:27:39,160.61,Failed,Entertainment,Mobile,North,Debit Card,USR08134
TXN0000276,2023-01-02 23:54:20,874.77,Success,Retail,Mobile,South,UPI,USR06311
