date,total,failed,daily_fail_rate,rolling_7d_rate
2023-07-05,136,13,0.09558823529411764,0.16360236736299422
2023-07-06,151,27,0.17880794701986755,0.16356000584984096
2023-07-07,146,22,0.1506849315068493,0.1581713107648981
2023-07-08,142,16,0.11267605633802817,0.14980605071142658
2023-07-09,124,18,0.14516129032258066,0.14511964908680736
2023-07-10,161,24,0.14906832298136646,0.14126421836583555
2023-07-11,134,24,0.1791044776119403,0.14444160872496428
2023-07-12,148,20,0.13513513513513514,0.15009116584510965
2023-07-13,128,18,0.140625,0.1446364591279857
2023-07-14,164,20,0.12195121951219512,0.1405316431287494
2023-07-15,112,18,0.16071428571428573,0.14739424732535764
2023-07-16,121,18,0.1487603305785124,0.14790839593334787
2023-07-17,148,20,0.13513513513513514,0.1459179405267434
2023-07-18,151,25,0.16556291390728478,0.14398343142607833
2023-07-19,129,23,0.17829457364341086,0.15014906549868914
2023-07-20,120,16,0.13333333333333333,0.14910739883202245
2023-07-21,131,27,0.20610687022900764,0.16112963464870997
2023-07-22,142,21,0.14788732394366197,0.15929721153862086
2023-07-23,126,15,0.11904761904761904,0.15505253846277897
2023-07-24,127,14,0.11023622047244094,0.15149555065382267
2023-07-25,133,20,0.15037593984962405,0.1493259829312997
2023-07-26,127,18,0.14173228346456693,0.14410279862003628
2023-07-27,129,26,0.20155038759689922,0.15384809208625996
2023-07-28,147,24,0.16326530612244897,0.14772786864246587
2023-07-29,133,20,0.15037593984962405,0.14808338520046044
2023-07-30,125,21,0.168,0.15507658247937203
2023-07-31,136,14,0.10294117647058823,0.15403443333625022
2023-08-01,151,21,0.1390728476821192,0.1524197058837495
2023-08-02,134,28,0.208955223880597,0.16202298308603955
2023-08-03,139,24,0.17266187050359713,0.15789605207271065
2023-08-04,133,24,0.18045112781954886,0.16035116945801065
2023-08-05,124,25,0.20161290322580644,0.16767073565460813
2023-08-06,124,16,0.12903225806451613,0.1621039153781104
2023-08-07,135,22,0.16296296296296298,0.17067845630559253
2023-08-08,132,22,0.16666666666666666,0.17462043044624218
2023-08-09,122,20,0.16393442622950818,0.16818888792465805
2023-08-10,125,17,0.136,0.16295147785271563
2023-08-11,134,17,0.12686567164179105,0.1552964126844645
2023-08-12,134,23,0.17164179104477612,0.1510148252300316
2023-08-13,137,21,0.15328467153284672,0.1544794557255074
2023-08-14,139,23,0.16546762589928057,0.15483726471640988
2023-08-15,120,9,0.075,0.1417420266211718
2023-08-16,144,23,0.1597222222222222,0.14114028319155952
2023-08-17,135,14,0.1037037037037037,0.13652652657780293
2023-08-18,137,15,0.10948905109489052,0.13404415221396
2023-08-19,117,11,0.09401709401709402,0.12295490978143396
2023-08-20,145,17,0.11724137931034483,0.11780586803536228
2023-08-21,143,20,0.13986013986013987,0.11414765574405646
2023-08-22,125,19,0.152,0.12514765574405645
2023-08-23,144,17,0.11805555555555555,0.11919527479167549
2023-08-24,170,26,0.15294117647058825,0.126229199472659
2023-08-25,130,23,0.17692307692307693,0.13586263173382848
2023-08-26,139,27,0.19424460431654678,0.15018084749089317
2023-08-27,125,23,0.184,0.15971779330370106
2023-08-28,140,26,0.18571428571428572,0.16626838556857906
2023-08-29,139,24,0.17266187050359713,0.16922008135480718
2023-08-30,132,24,0.18181818181818182,0.1783290279637538
2023-08-31,124,24,0.1935483870967742,0.18413005805320895
2023-09-01,169,21,0.1242603550295858,0.1766068120684245
2023-09-02,134,28,0.208955223880597,0.1787083291490031
2023-09-03,137,31,0.22627737226277372,0.18474795375797076
2023-09-04,145,18,0.12413793103448276,0.17595133166085605
2023-09-05,128,23,0.1796875,0.17695499301748502
2023-09-06,144,29,0.2013888888888889,0.17975080831330034
2023-09-07,133,18,0.13533834586466165,0.17143508813728428
2023-09-08,141,19,0.1347517730496454,0.1729338621401499
2023-09-09,142,24,0.16901408450704225,0.16722798508678496
2023-09-10,140,25,0.17857142857142858,0.16041285027373564
2023-09-11,134,21,0.15671641791044777,0.16506691982744495
2023-09-12,144,17,0.11805555555555555,0.15626235633538146
2023-09-13,136,22,0.16176470588235295,0.15060175876301915
2023-09-14,126,18,0.14285714285714285,0.1516758726190879
2023-09-15,131,25,0.19083969465648856,0.15968843284863693
2023-09-16,146,19,0.13013698630136986,0.15413456167639802
2023-09-17,121,9,0.0743801652892562,0.13925009549323053
2023-09-18,129,16,0.12403100775193798,0.134580751184872
2023-09-19,136,21,0.15441176470588236,0.13977449534920441
2023-09-20,139,23,0.16546762589928057,0.1403034839230512
2023-09-21,127,20,0.15748031496062992,0.14239250850926363
2023-09-22,139,27,0.19424460431654678,0.14287892417498624
2023-09-23,136,25,0.18382352941176472,0.15054843033361406
2023-09-24,132,16,0.12121212121212122,0.15723870975116622
2023-09-25,126,16,0.12698412698412698,0.1576605839271932
2023-09-26,136,20,0.14705882352941177,0.15661016375912598
2023-09-27,140,25,0.17857142857142858,0.15848213556943286
2023-09-28,137,20,0.145985401459854,0.156840005069322
2023-09-29,134,16,0.11940298507462686,0.14614834517761915
2023-09-30,135,20,0.14814814814814814,0.14105186213995966
2023-10-01,111,16,0.14414414414414414,0.14432786541596293
2023-10-02,159,31,0.1949685534591195,0.1540399263409619
2023-10-03,133,21,0.15789473684210525,0.15558791395706092
2023-10-04,143,16,0.11188811188811189,0.14606172585944427
2023-10-05,133,31,0.23308270676691728,0.15850419804616758
2023-10-06,139,20,0.14388489208633093,0.16200161333355387
2023-10-07,117,15,0.1282051282051282,0.15915261048455104
2023-10-08,134,24,0.1791044776119403,0.16414694383709333
2023-10-09,137,26,0.1897810218978102,0.16340586789976344
2023-10-10,145,20,0.13793103448275862,0.16055391041985678
2023-10-11,140,20,0.14285714285714285,0.1649780577011469
2023-10-12,138,21,0.15217391304347827,0.1534196585977985
2023-10-13,151,15,0.09933774834437085,0.14705578092037563
2023-10-14,127,19,0.14960629921259844,0.15011309106429996
2023-10-15,135,20,0.14814814814814814,0.1456907582837582
2023-10-16,129,27,0.20930232558139536,0.14847951595284178
2023-10-17,153,23,0.1503267973856209,0.15025033922467926
2023-10-18,144,22,0.1527777777777778,0.15166757278476997
2023-10-19,113,28,0.24778761061946902,0.16532667243848292
2023-10-20,134,22,0.16417910447761194,0.17458972331466022
2023-10-21,142,24,0.16901408450704225,0.17736226407100933
2023-10-22,141,21,0.14893617021276595,0.17747483865166905
2023-10-23,128,31,0.2421875,0.1821727207114697
2023-10-24,134,19,0.1417910447761194,0.1809533274815409
2023-10-25,130,21,0.16153846153846155,0.18220485373306716
2023-10-26,115,20,0.17391304347826086,0.171651344141466
2023-10-27,113,15,0.13274336283185842,0.16716052390635833
2023-10-28,136,19,0.13970588235294118,0.1629736378843439
2023-10-29,149,28,0.18791946308724833,0.1685426797235557
2023-10-30,153,21,0.13725490196078433,0.1535523085750963
2023-10-31,127,28,0.2204724409448819,0.16479250802777662
2023-11-01,124,16,0.12903225806451613,0.16014876467435585
2023-11-02,149,30,0.20134228187919462,0.1640672273030607
2023-11-03,150,23,0.15333333333333332,0.16700865166041426
2023-11-04,149,27,0.18120805369127516,0.17293753328017628
2023-11-05,123,21,0.17073170731707318,0.17048213959872263
2023-11-06,123,16,0.13008130081300814,0.16945733943475463
2023-11-07,137,22,0.16058394160583941,0.1609018395291771
2023-11-08,144,21,0.14583333333333334,0.16330199313900814
2023-11-09,127,14,0.11023622047244094,0.15028684150947194
2023-11-10,150,25,0.16666666666666666,0.15219160341423385
2023-11-11,131,10,0.07633587786259542,0.13720986401013674
2023-11-12,144,20,0.1388888888888889,0.13266088994896755
2023-11-13,133,23,0.17293233082706766,0.13878246566526178
2023-11-14,135,24,0.17777777777777778,0.14123872797553866
2023-11-15,135,28,0.2074074074074074,0.15003502427183496
2023-11-16,145,22,0.15172413793103448,0.1559618696230626
2023-11-17,131,25,0.19083969465648856,0.1594151593358943
2023-11-18,142,16,0.11267605633802817,0.1646066134038133
2023-11-19,121,21,0.17355371900826447,0.1695587319922955
2023-11-20,128,18,0.140625,0.16494339901700011
2023-11-21,142,18,0.1267605633802817,0.15765522553164354
2023-11-22,115,16,0.1391304347826087,0.14790137229952943
2023-11-23,112,23,0.20535714285714285,0.15556323014611634
2023-11-24,154,27,0.17532467532467533,0.15334679881300017
2023-11-25,135,23,0.17037037037037037,0.16158884367476337
2023-11-26,117,19,0.1623931623931624,0.15999447844403444
2023-11-27,136,23,0.16911764705882354,0.16406485659529496
2023-11-28,113,15,0.13274336283185842,0.16491954223123453
2023-11-29,137,27,0.19708029197080293,0.1731980932581194
2023-11-30,156,29,0.1858974358974359,0.17041813512101842
2023-12-01,140,24,0.17142857142857143,0.16986154885014645
2023-12-02,135,20,0.14814814814814814,0.16668694567554326
2023-12-03,121,12,0.09917355371900827,0.15765557300780694
2023-12-04,126,17,0.1349206349206349,0.1527702855594943
2023-12-05,127,24,0.1889763779527559,0.16080357343390822
2023-12-06,146,24,0.1643835616438356,0.15613261195862718
2023-12-07,139,24,0.17266187050359713,0.1542418169023645
2023-12-08,131,28,0.21374045801526717,0.1602863721290353
2023-12-09,128,20,0.15625,0.16144377953644273
2023-12-10,140,26,0.18571428571428572,0.17380674125005374
2023-12-11,153,22,0.1437908496732026,0.17507391478613488
2023-12-12,128,19,0.1484375,0.16928264650716976
2023-12-13,131,15,0.11450381679389313,0.16215696867146367
2023-12-14,136,24,0.17647058823529413,0.16270107120456326
2023-12-15,131,21,0.16030534351145037,0.1550674834183037
2023-12-16,131,23,0.17557251908396945,0.1578278432874422
2023-12-17,130,23,0.17692307692307693,0.15657195631726953
2023-12-18,146,24,0.1643835616438356,0.15951377231307423
2023-12-19,138,15,0.10869565217391304,0.15383636548077612
2023-12-20,145,20,0.13793103448275862,0.15718311086489972
2023-12-21,124,20,0.16129032258064516,0.15501450148566415
2023-12-22,124,22,0.1774193548387097,0.1574593602467012
2023-12-23,133,20,0.15037593984962405,0.153859848927509
2023-12-24,116,23,0.19827586206896552,0.1569102468054931
2023-12-25,136,22,0.16176470588235295,0.1565361245538527
2023-12-26,146,29,0.19863013698630136,0.1693839080984796
2023-12-27,134,25,0.1865671641791045,0.17633192662652905
2023-12-28,137,22,0.16058394160583941,0.17623101505869965
2023-12-29,134,17,0.12686567164179105,0.16900906031628268
2023-12-30,132,16,0.12121212121212122,0.16484280051092512
2023-12-31,128,19,0.1484375,0.15772303450107292
2024-01-01,147,24,0.16326530612244897,0.1579374059639438
2024-01-02,138,21,0.15217391304347827,0.15130080254354047
2024-01-03,132,17,0.12878787878787878,0.14304661891622253
2024-01-04,141,20,0.14184397163120568,0.1403694803484177
2024-01-05,134,23,0.17164179104477612,0.14676606883455842
2024-01-06,137,16,0.11678832116788321,0.1461340973996673
2024-01-07,138,9,0.06521739130434782,0.13424551044314556
2024-01-08,144,17,0.11805555555555555,0.12778697464787506
2024-01-09,140,22,0.15714285714285714,0.1284968238049292
2024-01-10,116,14,0.1206896551724138,0.1273399347170056
2024-01-11,134,23,0.17164179104477612,0.1315967660618014
2024-01-12,145,19,0.1310344827586207,0.12579572202092207
2024-01-13,125,14,0.112,0.12511167613979587
2024-01-14,138,23,0.16666666666666666,0.1396044297629843
2024-01-15,144,13,0.09027777777777778,0.1356361757947303
2024-01-16,150,30,0.2,0.14175862477432216
2024-01-17,118,16,0.13559322033898305,0.14388770551240349
2024-01-18,124,18,0.14516129032258066,0.14010477683780412
2024-01-19,146,23,0.15753424657534246,0.1438904573830501
2024-01-20,140,16,0.11428571428571428,0.144216987995295
2024-01-21,124,13,0.10483870967741936,0.13538442271111678
2024-01-22,137,35,0.25547445255474455,0.15898394767925492
2024-01-23,127,21,0.16535433070866143,0.15403456635192084
2024-01-24,159,32,0.20125786163522014,0.1634152293942404
2024-01-25,135,20,0.14814814814814814,0.1638419233693215
2024-01-26,149,23,0.15436241610738255,0.16338880473104148
2024-01-27,135,27,0.2,0.17563370269022513
2024-01-28,135,15,0.1111111111111111,0.17652976003789542
2024-01-29,134,20,0.14925373134328357,0.161355371293401
2024-01-30,156,37,0.23717948717948717,0.17161610793209037
2024-01-31,126,12,0.09523809523809523,0.1564704270182154
2024-02-01,125,26,0.208,0.16502069156847995
2024-02-02,127,18,0.14173228346456693,0.16321638690522056
2024-02-03,144,22,0.1527777777777778,0.15647035515918883
2024-02-04,137,21,0.15328467153284672,0.16249514950515107
2024-02-05,145,24,0.16551724137931034,0.16481850808172632
2024-02-06,125,20,0.16,0.15379286705608528
2024-02-07,146,19,0.13013698630136986,0.15877842292226735
2024-02-08,113,19,0.168141592920354,0.15308436476803222
2024-02-09,145,23,0.15862068965517243,0.15549699422383303
2024-02-10,138,16,0.11594202898550725,0.1502347443963658
2024-02-11,132,22,0.16666666666666666,0.15214645798691148
2024-02-12,151,24,0.15894039735099338,0.15120690884000906
2024-02-13,133,25,0.18796992481203006,0.1552026123845848
2024-02-14,129,22,0.17054263565891473,0.16097484800709122
2024-02-15,126,25,0.1984126984126984,0.1652992916488547
2024-02-16,115,14,0.12173913043478261,0.16003049747451328
2024-02-17,163,24,0.147239263803681,0.16450153101996667
2024-02-18,128,24,0.1875,0.16747772149615717
2024-02-19,133,20,0.15037593984962405,0.1662542275673901
2024-02-20,130,26,0.2,0.1679728097371001
2024-02-21,142,25,0.176056338028169,0.16876048150413642
2024-02-22,131,21,0.16030534351145037,0.16331657366110103
2024-02-23,138,18,0.13043478260869565,0.16455880968594574
2024-02-24,140,18,0.12857142857142856,0.16189197608133823
2024-02-25,148,25,0.16891891891891891,0.15923753592689807
2024-02-26,153,19,0.12418300653594772,0.1554956883106586
2024-02-27,134,23,0.17164179104477612,0.15144451560276947
2024-02-28,139,22,0.15827338129496402,0.14890409321231163
2024-02-29,137,24,0.17518248175182483,0.15102939867522228
2024-03-01,149,20,0.1342281879194631,0.1515713137196176
2024-03-02,132,24,0.18181818181818182,0.15917799275486808
2024-03-03,132,29,0.2196969696969697,0.1664320000088753
2024-03-04,149,28,0.18791946308724833,0.17553720808763254
2024-03-05,154,28,0.18181818181818182,0.1769909781981191
2024-03-06,126,18,0.14285714285714285,0.17478865842128746
2024-03-07,113,17,0.1504424778761062,0.1712543721533277
2024-03-08,128,18,0.140625,0.17216820245054726
2024-03-09,133,18,0.13533834586466165,0.16552822588575866
2024-03-10,142,13,0.09154929577464789,0.14722141532542696
2024-03-11,128,22,0.171875,0.14492934917010578
2024-03-12,153,26,0.16993464052287582,0.14323170041363348
2024-03-13,133,24,0.18045112781954886,0.14860226969397722
2024-03-14,151,22,0.1456953642384106,0.14792411060287786
2024-03-15,145,25,0.1724137931034483,0.1524653667605133
2024-03-16,127,18,0.14173228346456693,0.1533787864176426
2024-03-17,159,34,0.2138364779874214,0.17084838387661025
2024-03-18,131,19,0.1450381679389313,0.167014550725029
2024-03-19,138,28,0.2028985507246377,0.17172368075385216
2024-03-20,138,15,0.10869565217391304,0.16147289851876132
2024-03-21,126,27,0.21428571428571427,0.1712715199540904
2024-03-22,130,22,0.16923076923076924,0.1708168022579934
2024-03-23,135,14,0.1037037037037037,0.16538414800644152
2024-03-24,129,19,0.14728682170542637,0.15587705425187082
2024-03-25,138,20,0.14492753623188406,0.15586124972229262
2024-03-26,138,18,0.13043478260869565,0.14550928284858664
2024-03-27,131,23,0.17557251908396945,0.15506312097859468
2024-03-28,135,23,0.17037037037037037,0.14878950041925984
2024-03-29,159,28,0.1761006289308176,0.14977090894783815
2024-03-30,124,21,0.1693548387096774,0.15914964252012015
2024-03-31,126,19,0.15079365079365079,0.15965061810415218
2024-04-01,117,14,0.11965811965811966,0.15604070145075727
2024-04-02,114,19,0.16666666666666666,0.16121668488761026
2024-04-03,131,17,0.1297709923664122,0.15467360964224497
2024-04-04,121,18,0.1487603305785124,0.15158646110055093
2024-04-05,138,23,0.16666666666666666,0.15023875220567226
2024-04-06,136,19,0.13970588235294118,0.14600318701185278
2024-04-07,137,21,0.15328467153284672,0.14635904711745223
2024-04-08,160,31,0.19375,0.15694360145200653
2024-04-09,138,24,0.17391304347826086,0.15797879813937715
2024-04-10,129,19,0.14728682170542637,0.16048105947352204
2024-04-11,135,23,0.17037037037037037,0.16356820801521604
2024-04-12,137,25,0.18248175182481752,0.16582750589495188
2024-04-13,129,26,0.20155038759689922,0.1746624352155173
2024-04-14,133,12,0.09022556390977443,0.16565399126936411
2024-04-15,126,15,0.11904761904761904,0.1549822225618811
2024-04-16,135,24,0.17777777777777778,0.15553432746181212
2024-04-17,150,26,0.17333333333333334,0.15925525769437024
2024-04-18,134,22,0.16417910447761194,0.1583707911382619
2024-04-19,133,22,0.16541353383458646,0.1559324742825146
2024-04-20,143,22,0.15384615384615385,0.14911758374669384
2024-04-21,122,14,0.11475409836065574,0.15262166009681974
2024-04-22,135,16,0.11851851851851852,0.15254607430694822
2024-04-23,156,28,0.1794871794871795,0.15279027455114846
2024-04-24,120,17,0.14166666666666666,0.14826646502733892
2024-04-25,142,18,0.1267605633802817,0.1429209591562918
2024-04-26,149,28,0.18791946308724833,0.14613609190667207
2024-04-27,153,16,0.10457516339869281,0.13909737898560617
2024-04-28,142,27,0.19014084507042253,0.14986691422985857
2024-04-29,157,34,0.21656050955414013,0.1638729129492331
2024-04-30,139,23,0.16546762589928057,0.16187011957953326
2024-05-01,134,16,0.11940298507462686,0.15868959363781326
