transaction_id,timestamp,amount,status,category,device_type,region,payment_method,user_id,hour,day_of_week,day_name,month,month_name,year,date,is_weekend,is_night,log_amount,amount_bucket,is_failed,transactions_per_user,user_failure_rate,user_type
TXN0000013,2023-01-01 06:02:09,4445.11,Success,Electronics,Mobile,West,UPI,USR06878,6,6,Sunday,1,Jan,2023,2023-01-01,1,0,8.399784835558611,Medium (1K-10K),0,13,0.15384615384615385,New
TXN0000014,2023-01-01 06:12:56,545.08,Success,Entertainment,Mobile,South,Debit Card,USR07883,6,6,Sunday,1,Jan,2023,2023-01-01,1,0,6.302765485158397,Low (<1K),0,16,0.125,Returning
TXN0000015,2023-01-01 06:19:18,557.68,Success,Healthcare,Mobile,North,UPI,USR07316,6,6,Sunday,1,Jan,2023,2023-01-01,1,0,6.325576858437571,Low (<1K),0,9,0.1111111111111111,New
TXN0000016,2023-01-01 06:19:28,766.97,Success,Travel,Mobile,North,Wallet,USR08862,6,6,Sunday,1,Jan,2023,2023-01-01,1,0,6.643750669884713,Low (<1K),0,16,0.0625,Returning
TXN0000017,2023-01-01 06:58:00,639.28,Failed,Retail,Desktop,West,Debit Card,USR08175,6,6,Sunday,1,Jan,2023,2023-01-01,1,0,6.461905580678497,Low (<1K),1,12,0.3333333333333333,New
TXN0000018,2023-01-01 07:19:34,663.78,Success,Utilities,Tablet,East,Debit Card,USR06909,7,6,Sunday,1,Jan,2023,2023-01-01,1,0,6.499456158852838,Low (<1K),0,10,0.0,New
TXN0000019,2023-01-01 07:29:27,205.0,Success,Food & Dining,Mobile,West,Credit Card,USR07934,7,6,Sunday,1,Jan,2023,2023-01-01,1,0,5.327876168789581,Low (<1K),0,10,0.3,New
TXN0000020,2023-01-01 07:44:38,1430.43,Success,Entertainment,Mobile,East,Debit Card,USR01719,7,6,Sunday,1,Jan,2023,2023-01-01,1,0,7.2664292235870365,Medium (1K-10K),0,16,0.25,Returning
TXN0000021,2023-01-01 07:51:08,4429.18,Success,Utilities,Desktop,South,Credit Card,USR06031,7,6,Sunday,1,Jan,2023,2023-01-01,1,0,8.396195494267898,Medium (1K-10K),0,14,0.21428571428571427,New
TXN0000022,2023-01-01 08:17:39,907.77,Success,Food & Dining,Mobile,Central,Credit Card,USR05920,8,6,Sunday,1,Jan,2023,2023-01-01,1,0,6.812092036858646,Low (<1K),0,8,0.25,New
TXN0000023,2023-01-01 08:19:16,2583.32,Success,Healthcare,Mobile,West,Debit Card,USR03141,8,6,Sunday,1,Jan,2023,2023-01-01,1,0,7.857217696244363,Medium (1K-10K),0,8,0.0,New
TXN0000024,2023-01-01 08:23:44,6976.75,Success,Entertainment,Desktop,West,Net Banking,USR05072,8,6,Sunday,1,Jan,2023,2023-01-01,1,0,8.850481794220427,Medium (1K-10K),0,8,0.25,New
TXN0000025,2023-01-01 08:34:21,300.61,Success,Entertainment,Mobile,South,Net Banking,USR09399,8,6,Sunday,1,Jan,2023,2023-01-01,1,0,5.709134792082811,Low (<1K),0,7,0.42857142857142855,New
TXN0000026,2023-01-01 08:39:33,811.48,Success,Food & Dining,Desktop,East,Credit Card,USR07616,8,6,Sunday,1,Jan,2023,2023-01-01,1,0,6.7000912985163135,Low (<1K),0,12,0.08333333333333333,New
TXN0000027,2023-01-01 08:52:06,296.84,Success,Food & Dining,Desktop,East,Net Banking,USR02838,8,6,Sunday,1,Jan,2023,2023-01-01,1,0,5.6965564295644615,Low (<1K),0,11,0.18181818181818182,New
TXN0000028,2023-01-01 08:53:26,336.37,Success,Food & Dining,Desktop,East,Credit Card,USR03933,8,6,Sunday,1,Jan,2023,2023-01-01,1,0,5.821180250924531,Low (<1K),0,9,0.1111111111111111,New
TXN0000029,2023-01-01 08:56:51,9261.67,Success,Electronics,Mobile,West,Credit Card,USR08279,8,6,Sunday,1,Jan,2023,2023-01-01,1,0,9.133747623012166,Medium (1K-10K),0,10,0.0,New
TXN0000030,2023-01-01 09:04:06,987.06,Success,Utilities,Mobile,East,Credit Card,USR03477,9,6,Sunday,1,Jan,2023,2023-01-01,1,0,6.895743424648892,Low (<1K),0,14,0.07142857142857142,New
TXN0000031,2023-01-01 09:08:41,3150.86,Success,Food & Dining,Mobile,West,Credit Card,USR08946,9,6,Sunday,1,Jan,2023,2023-01-01,1,0,8.055748033747685,Medium (1K-10K),0,9,0.2222222222222222,New
TXN0000032,2023-01-01 09:09:53,2204.97,Failed,Retail,Mobile,South,Debit Card,USR00769,9,6,Sunday,1,Jan,2023,2023-01-01,1,0,7.698922600446271,Medium (1K-10K),1,15,0.3333333333333333,Returning
TXN0000033,2023-01-01 09:11:33,4230.1,Success,Entertainment,Mobile,South,Net Banking,USR03391,9,6,Sunday,1,Jan,2023,2023-01-01,1,0,8.350217285515214,Medium (1K-10K),0,9,0.3333333333333333,New
TXN0000034,2023-01-01 09:15:44,2158.49,Success,Electronics,Desktop,West,Debit Card,USR09471,9,6,Sunday,1,Jan,2023,2023-01-01,1,0,7.677627361688483,Medium (1K-10K),0,6,0.16666666666666666,New
TXN0000035,2023-01-01 09:21:39,2055.28,Success,Electronics,Mobile,South,Net Banking,USR03244,9,6,Sunday,1,Jan,2023,2023-01-01,1,0,7.628653804072908,Medium (1K-10K),0,14,0.14285714285714285,New
TXN0000036,2023-01-01 09:40:12,305.11,Success,Electronics,Mobile,West,Debit Card,USR08184,9,6,Sunday,1,Jan,2023,2023-01-01,1,0,5.723944514480142,Low (<1K),0,13,0.07692307692307693,New
TXN0000037,2023-01-01 09:43:03,1885.58,Success,Electronics,Mobile,Central,Debit Card,USR08700,9,6,Sunday,1,Jan,2023,2023-01-01,1,0,7.542520945078251,Medium (1K-10K),0,11,0.0,New
TXN0000038,2023-01-01 09:43:05,1860.14,Success,Retail,Mobile,North,UPI,USR05748,9,6,Sunday,1,Jan,2023,2023-01-01,1,0,7.528944482184582,Medium (1K-10K),0,13,0.15384615384615385,New
TXN0000039,2023-01-01 09:43:26,583.95,Success,Electronics,Desktop,South,UPI,USR05575,9,6,Sunday,1,Jan,2023,2023-01-01,1,0,6.3715263734936105,Low (<1K),0,18,0.1111111111111111,Returning
TXN0000040,2023-01-01 09:55:48,151.05,Success,Retail,Desktop,South,UPI,USR08233,9,6,Sunday,1,Jan,2023,2023-01-01,1,0,5.024209414123374,Low (<1K),0,10,0.0,New
TXN0000041,2023-01-01 09:56:25,2425.6,Success,Retail,Tablet,Central,Credit Card,USR07758,9,6,Sunday,1,Jan,2023,2023-01-01,1,0,7.794246379617773,Medium (1K-10K),0,8,0.125,New
TXN0000042,2023-01-01 10:02:01,7856.71,Success,Retail,Tablet,South,Credit Card,USR02540,10,6,Sunday,1,Jan,2023,2023-01-01,1,0,8.969250494372494,Medium (1K-10K),0,10,0.2,New
TXN0000043,2023-01-01 10:03:35,216.28,Failed,Entertainment,Desktop,North,Net Banking,USR07770,10,6,Sunday,1,Jan,2023,2023-01-01,1,0,5.3811868443703315,Low (<1K),1,8,0.25,New
TXN0000044,2023-01-01 10:08:28,1477.34,Success,Healthcare,Desktop,South,Wallet,USR04296,10,6,Sunday,1,Jan,2023,2023-01-01,1,0,7.298675115648265,Medium (1K-10K),0,9,0.0,New
TXN0000045,2023-01-01 10:15:09,123.94,Success,Electronics,Desktop,West,Credit Card,USR06261,10,6,Sunday,1,Jan,2023,2023-01-01,1,0,4.827833622065424,Low (<1K),0,12,0.0,New
TXN0000046,2023-01-01 10:19:20,3943.57,Success,Food & Dining,Mobile,East,UPI,USR08430,10,6,Sunday,1,Jan,2023,2023-01-01,1,0,8.280095228606609,Medium (1K-10K),0,10,0.0,New
TXN0000047,2023-01-01 10:21:56,7487.65,Success,Retail,Mobile,West,Net Banking,USR04379,10,6,Sunday,1,Jan,2023,2023-01-01,1,0,8.9211438199456,Medium (1K-10K),0,7,0.14285714285714285,New
TXN0000048,2023-01-01 10:32:46,1608.1,Success,Food & Dining,Mobile,Central,Debit Card,USR09063,10,6,Sunday,1,Jan,2023,2023-01-01,1,0,7.3834302954651045,Medium (1K-10K),0,15,0.13333333333333333,Returning
TXN0000049,2023-01-01 10:46:18,3826.48,Success,Travel,Desktop,South,Wallet,USR06685,10,6,Sunday,1,Jan,2023,2023-01-01,1,0,8.249961902175274,Medium (1K-10K),0,11,0.18181818181818182,New
TXN0000050,2023-01-01 10:48:31,1951.35,Failed,Electronics,Desktop,East,UPI,USR05232,10,6,Sunday,1,Jan,2023,2023-01-01,1,0,7.576789054178815,Medium (1K-10K),1,11,0.36363636363636365,New
TXN0000051,2023-01-01 10:53:26,564.17,Success,Retail,Mobile,South,Debit Card,USR01860,10,6,Sunday,1,Jan,2023,2023-01-01,1,0,6.337126570845393,Low (<1K),0,11,0.09090909090909091,New
TXN0000052,2023-01-01 11:12:59,1538.66,Success,Food & Dining,Mobile,North,Credit Card,USR08206,11,6,Sunday,1,Jan,2023,2023-01-01,1,0,7.339316891811576,Medium (1K-10K),0,11,0.09090909090909091,New
TXN0000053,2023-01-01 11:14:15,1749.75,Success,Food & Dining,Desktop,South,Debit Card,USR04003,11,6,Sunday,1,Jan,2023,2023-01-01,1,0,7.467799546535627,Medium (1K-10K),0,14,0.07142857142857142,New
TXN0000054,2023-01-01 11:19:30,1518.7,Success,Electronics,Mobile,North,Debit Card,USR07982,11,6,Sunday,1,Jan,2023,2023-01-01,1,0,7.326268225939559,Medium (1K-10K),0,11,0.18181818181818182,New
TXN0000055,2023-01-01 11:36:20,2823.33,Success,Travel,Tablet,North,UPI,USR06538,11,6,Sunday,1,Jan,2023,2023-01-01,1,0,7.946026447310137,Medium (1K-10K),0,17,0.058823529411764705,Returning
TXN0000056,2023-01-01 11:40:12,2119.77,Success,Food & Dining,Mobile,West,UPI,USR07918,11,6,Sunday,1,Jan,2023,2023-01-01,1,0,7.659534509269334,Medium (1K-10K),0,15,0.0,Returning
TXN0000057,2023-01-01 11:42:43,1432.25,Success,Travel,Desktop,West,Credit Card,USR03203,11,6,Sunday,1,Jan,2023,2023-01-01,1,0,7.267699871788492,Medium (1K-10K),0,12,0.08333333333333333,New
TXN0000058,2023-01-01 11:43:19,837.51,Success,Electronics,Mobile,North,Debit Card,USR02263,11,6,Sunday,1,Jan,2023,2023-01-01,1,0,6.731626507250587,Low (<1K),0,8,0.0,New
TXN0000059,2023-01-01 11:43:30,3293.28,Success,Travel,Mobile,Central,Debit Card,USR09244,11,6,Sunday,1,Jan,2023,2023-01-01,1,0,8.099942910160856,Medium (1K-10K),0,15,0.13333333333333333,Returning
TXN0000060,2023-01-01 12:04:27,3029.9,Success,Retail,Desktop,East,UPI,USR03144,12,6,Sunday,1,Jan,2023,2023-01-01,1,0,8.016614884101797,Medium (1K-10K),0,11,0.09090909090909091,New
TXN0000061,2023-01-01 12:21:11,2235.82,Success,Food & Dining,Mobile,West,Debit Card,USR06212,12,6,Sunday,1,Jan,2023,2023-01-01,1,0,7.712810493344296,Medium (1K-10K),0,12,0.08333333333333333,New
TXN0000062,2023-01-01 12:32:54,668.21,Success,Retail,Mobile,North,Debit Card,USR05457,12,6,Sunday,1,Jan,2023,2023-01-01,1,0,6.5060979122168,Low (<1K),0,8,0.25,New
TXN0000063,2023-01-01 12:33:20,465.26,Failed,Retail,Mobile,West,UPI,USR08818,12,6,Sunday,1,Jan,2023,2023-01-01,1,0,6.144743418449206,Low (<1K),1,8,0.25,New
TXN0000064,2023-01-01 12:36:28,4067.85,Success,Healthcare,Mobile,West,UPI,USR09617,12,6,Sunday,1,Jan,2023,2023-01-01,1,0,8.31111568322782,Medium (1K-10K),0,16,0.125,Returning
TXN0000065,2023-01-01 12:46:25,620.03,Success,Electronics,Mobile,Central,Credit Card,USR09349,12,6,Sunday,1,Jan,2023,2023-01-01,1,0,6.431379389945372,Low (<1K),0,11,0.0,New
TXN0000066,2023-01-01 12:47:51,1205.84,Success,Retail,Desktop,North,UPI,USR08504,12,6,Sunday,1,Jan,2023,2023-01-01,1,0,7.0957606522443895,Medium (1K-10K),0,6,0.16666666666666666,New
TXN0000067,2023-01-01 12:57:19,279.59,Success,Healthcare,Mobile,Central,Net Banking,USR01935,12,6,Sunday,1,Jan,2023,2023-01-01,1,0,5.636894529114569,Low (<1K),0,11,0.0,New
TXN0000068,2023-01-01 13:03:59,3076.95,Success,Utilities,Mobile,North,UPI,USR03450,13,6,Sunday,1,Jan,2023,2023-01-01,1,0,8.032019069952394,Medium (1K-10K),0,7,0.0,New
TXN0000069,2023-01-01 13:28:49,408.47,Success,Travel,Mobile,West,UPI,USR02583,13,6,Sunday,1,Jan,2023,2023-01-01,1,0,6.0148636405362135,Low (<1K),0,10,0.1,New
TXN0000070,2023-01-01 13:35:18,383.91,Success,Food & Dining,Mobile,Central,UPI,USR07815,13,6,Sunday,1,Jan,2023,2023-01-01,1,0,5.953009540726433,Low (<1K),0,11,0.09090909090909091,New
TXN0000071,2023-01-01 13:42:05,551.65,Failed,Electronics,Desktop,Central,Net Banking,USR09299,13,6,Sunday,1,Jan,2023,2023-01-01,1,0,6.314724889756964,Low (<1K),1,12,0.16666666666666666,New
TXN0000072,2023-01-01 13:45:36,3025.5,Success,Utilities,Desktop,South,Net Banking,USR07493,13,6,Sunday,1,Jan,2023,2023-01-01,1,0,8.015162115331742,Medium (1K-10K),0,8,0.25,New
TXN0000073,2023-01-01 13:49:55,1394.93,Success,Entertainment,Desktop,Central,UPI,USR00836,13,6,Sunday,1,Jan,2023,2023-01-01,1,0,7.241316138798626,Medium (1K-10K),0,11,0.36363636363636365,New
TXN0000074,2023-01-01 13:52:04,845.14,Success,Retail,Mobile,Central,Credit Card,USR01205,13,6,Sunday,1,Jan,2023,2023-01-01,1,0,6.740684830548721,Low (<1K),0,10,0.0,New
TXN0000075,2023-01-01 13:56:55,13136.74,Success,Food & Dining,Mobile,East,Wallet,USR01030,13,6,Sunday,1,Jan,2023,2023-01-01,1,0,9.483244283334233,High (10K-50K),0,10,0.0,New
TXN0000076,2023-01-01 14:05:50,3383.35,Success,Utilities,Mobile,West,UPI,USR05211,14,6,Sunday,1,Jan,2023,2023-01-01,1,0,8.126917143273799,Medium (1K-10K),0,13,0.23076923076923078,New
TXN0000077,2023-01-01 14:16:29,165.69,Success,Travel,Desktop,North,Net Banking,USR09978,14,6,Sunday,1,Jan,2023,2023-01-01,1,0,5.116135799954996,Low (<1K),0,15,0.26666666666666666,Returning
TXN0000078,2023-01-01 14:20:17,633.94,Success,Utilities,Mobile,East,Credit Card,USR05374,14,6,Sunday,1,Jan,2023,2023-01-01,1,0,6.453530506239425,Low (<1K),0,9,0.1111111111111111,New
TXN0000079,2023-01-01 14:24:05,168.42,Success,Food & Dining,Mobile,North,Credit Card,USR01436,14,6,Sunday,1,Jan,2023,2023-01-01,1,0,5.132380839003405,Low (<1K),0,13,0.07692307692307693,New
TXN0000080,2023-01-01 14:33:46,1018.81,Success,Travel,Mobile,Central,UPI,USR03352,14,6,Sunday,1,Jan,2023,2023-01-01,1,0,6.927371614417262,Medium (1K-10K),0,9,0.0,New
TXN0000081,2023-01-01 14:34:18,6270.52,Success,Utilities,Desktop,South,Credit Card,USR06114,14,6,Sunday,1,Jan,2023,2023-01-01,1,0,8.743774028489382,Medium (1K-10K),0,11,0.0,New
TXN0000082,2023-01-01 14:35:18,2437.05,Success,Electronics,Mobile,South,UPI,USR09876,14,6,Sunday,1,Jan,2023,2023-01-01,1,0,7.798953818444536,Medium (1K-10K),0,13,0.15384615384615385,New
TXN0000083,2023-01-01 14:40:09,1366.01,Success,Retail,Tablet,North,Debit Card,USR09266,14,6,Sunday,1,Jan,2023,2023-01-01,1,0,7.220381151986147,Medium (1K-10K),0,14,0.14285714285714285,New
TXN0000084,2023-01-01 14:42:29,1026.39,Success,Food & Dining,Desktop,East,Credit Card,USR03292,14,6,Sunday,1,Jan,2023,2023-01-01,1,0,6.934776884678421,Medium (1K-10K),0,8,0.25,New
TXN0000085,2023-01-01 14:46:58,2654.45,Success,Retail,Mobile,South,UPI,USR07277,14,6,Sunday,1,Jan,2023,2023-01-01,1,0,7.884369410839397,Medium (1K-10K),0,18,0.05555555555555555,Returning
TXN0000086,2023-01-01 14:51:01,236.74,Success,Utilities,Desktop,East,Credit Card,USR08477,14,6,Sunday,1,Jan,2023,2023-01-01,1,0,5.4711776395524785,Low (<1K),0,13,0.07692307692307693,New
TXN0000087,2023-01-01 14:58:43,1564.8,Success,Electronics,Desktop,South,Wallet,USR02714,14,6,Sunday,1,Jan,2023,2023-01-01,1,0,7.356152154473814,Medium (1K-10K),0,7,0.14285714285714285,New
TXN0000088,2023-01-01 15:11:44,2213.5,Success,Electronics,Mobile,Central,Credit Card,USR08327,15,6,Sunday,1,Jan,2023,2023-01-01,1,0,7.702781923363253,Medium (1K-10K),0,11,0.09090909090909091,New
TXN0000089,2023-01-01 15:18:43,392.0,Success,Electronics,Desktop,West,UPI,USR09361,15,6,Sunday,1,Jan,2023,2023-01-01,1,0,5.973809611869261,Low (<1K),0,23,0.043478260869565216,Returning
TXN0000090,2023-01-01 15:22:33,623.12,Success,Food & Dining,Mobile,Central,Credit Card,USR02570,15,6,Sunday,1,Jan,2023,2023-01-01,1,0,6.436342657572982,Low (<1K),0,9,0.1111111111111111,New
TXN0000091,2023-01-01 15:34:42,19163.48,Success,Retail,Mobile,East,UPI,USR08393,15,6,Sunday,1,Jan,2023,2023-01-01,1,0,9.860813844652398,High (10K-50K),0,7,0.14285714285714285,New
TXN0000092,2023-01-01 15:34:43,3405.82,Success,Entertainment,Mobile,South,Wallet,USR08792,15,6,Sunday,1,Jan,2023,2023-01-01,1,0,8.133534583861412,Medium (1K-10K),0,12,0.25,New
TXN0000093,2023-01-01 15:41:29,233.77,Failed,Food & Dining,Mobile,North,UPI,USR09774,15,6,Sunday,1,Jan,2023,2023-01-01,1,0,5.458606311477417,Low (<1K),1,18,0.2222222222222222,Returning
TXN0000094,2023-01-01 16:05:29,734.84,Failed,Entertainment,Desktop,South,Debit Card,USR08259,16,6,Sunday,1,Jan,2023,2023-01-01,1,0,6.601012703791613,Low (<1K),1,16,0.1875,Returning
TXN0000095,2023-01-01 16:07:12,1746.16,Success,Food & Dining,Desktop,South,Wallet,USR03690,16,6,Sunday,1,Jan,2023,2023-01-01,1,0,7.465746891515626,Medium (1K-10K),0,17,0.11764705882352941,Returning
TXN0000096,2023-01-01 16:14:28,28852.36,Success,Travel,Mobile,North,UPI,USR00175,16,6,Sunday,1,Jan,2023,2023-01-01,1,0,10.26998172962619,High (10K-50K),0,15,0.0,Returning
TXN0000097,2023-01-01 16:38:40,5260.63,Success,Food & Dining,Mobile,East,Wallet,USR09750,16,6,Sunday,1,Jan,2023,2023-01-01,1,0,8.568196143658586,Medium (1K-10K),0,13,0.0,New
TXN0000098,2023-01-01 16:43:10,6687.28,Success,Travel,Mobile,South,Credit Card,USR07899,16,6,Sunday,1,Jan,2023,2023-01-01,1,0,8.808112019916887,Medium (1K-10K),0,6,0.0,New
TXN0000099,2023-01-01 16:44:05,2914.56,Success,Travel,Mobile,North,UPI,USR04926,16,6,Sunday,1,Jan,2023,2023-01-01,1,0,7.977817190110888,Medium (1K-10K),0,14,0.07142857142857142,New
TXN0000100,2023-01-01 16:47:55,554.78,Success,Electronics,Desktop,East,UPI,USR01335,16,6,Sunday,1,Jan,2023,2023-01-01,1,0,6.320372532493991,Low (<1K),0,8,0.125,New
TXN0000101,2023-01-01 16:58:10,12258.85,Success,Retail,Mobile,North,Credit Card,USR06633,16,6,Sunday,1,Jan,2023,2023-01-01,1,0,9.414084974505078,High (10K-50K),0,6,0.0,New
TXN0000102,2023-01-01 16:59:02,5040.68,Failed,Travel,Mobile,Central,UPI,USR00118,16,6,Sunday,1,Jan,2023,2023-01-01,1,0,8.525494638855534,Medium (1K-10K),1,12,0.5,New
TXN0000103,2023-01-01 17:03:16,8353.69,Success,Entertainment,Mobile,South,UPI,USR08895,17,6,Sunday,1,Jan,2023,2023-01-01,1,0,9.030578336810322,Medium (1K-10K),0,10,0.2,New
TXN0000104,2023-01-01 17:08:14,13920.72,Success,Entertainment,Mobile,South,UPI,USR06060,17,6,Sunday,1,Jan,2023,2023-01-01,1,0,9.541205489473496,High (10K-50K),0,12,0.08333333333333333,New
TXN0000105,2023-01-01 17:20:27,11694.07,Success,Electronics,Mobile,Central,UPI,USR02143,17,6,Sunday,1,Jan,2023,2023-01-01,1,0,9.36692266446424,High (10K-50K),0,12,0.08333333333333333,New
TXN0000106,2023-01-01 17:28:13,1773.25,Success,Retail,Desktop,East,Credit Card,USR00641,17,6,Sunday,1,Jan,2023,2023-01-01,1,0,7.481133077405092,Medium (1K-10K),0,15,0.0,Returning
TXN0000107,2023-01-01 17:35:54,2509.55,Success,Retail,Mobile,East,UPI,USR03623,17,6,Sunday,1,Jan,2023,2023-01-01,1,0,7.8282571316277565,Medium (1K-10K),0,8,0.0,New
TXN0000108,2023-01-01 17:37:37,2278.92,Success,Healthcare,Tablet,South,Debit Card,USR08733,17,6,Sunday,1,Jan,2023,2023-01-01,1,0,7.7318956336135995,Medium (1K-10K),0,9,0.0,New
TXN0000109,2023-01-01 17:50:49,5509.54,Success,Electronics,Desktop,South,Net Banking,USR08071,17,6,Sunday,1,Jan,2023,2023-01-01,1,0,8.614417900974683,Medium (1K-10K),0,13,0.07692307692307693,New
TXN0000110,2023-01-01 17:58:27,2692.92,Failed,Food & Dining,Desktop,East,UPI,USR01267,17,6,Sunday,1,Jan,2023,2023-01-01,1,0,7.89875266090949,Medium (1K-10K),1,7,0.14285714285714285,New
TXN0000111,2023-01-01 18:16:21,2151.98,Failed,Food & Dining,Mobile,South,UPI,USR04119,18,6,Sunday,1,Jan,2023,2023-01-01,1,0,7.674608207957538,Medium (1K-10K),1,10,0.2,New
TXN0000112,2023-01-01 18:25:54,1592.82,Success,Utilities,Desktop,Central,UPI,USR03065,18,6,Sunday,1,Jan,2023,2023-01-01,1,0,7.37388892951084,Medium (1K-10K),0,16,0.0,Returning
TXN0000113,2023-01-01 18:27:40,1512.74,Success,Electronics,Mobile,Central,Credit Card,USR07645,18,6,Sunday,1,Jan,2023,2023-01-01,1,0,7.322338688734829,Medium (1K-10K),0,8,0.0,New
TXN0000114,2023-01-01 18:46:01,2594.65,Success,Travel,Mobile,West,UPI,USR01047,18,6,Sunday,1,Jan,2023,2023-01-01,1,0,7.861592245930255,Medium (1K-10K),0,15,0.13333333333333333,Returning
TXN0000115,2023-01-01 19:20:04,8588.39,Success,Utilities,Mobile,West,Net Banking,USR09442,19,6,Sunday,1,Jan,2023,2023-01-01,1,0,9.058282999651185,Medium (1K-10K),0,9,0.1111111111111111,New
TXN0000116,2023-01-01 19:25:52,576.85,Success,Retail,Mobile,South,Wallet,USR07213,19,6,Sunday,1,Jan,2023,2023-01-01,1,0,6.3593143194214505,Low (<1K),0,10,0.1,New
TXN0000117,2023-01-01 19:45:57,1973.01,Success,Electronics,Desktop,North,UPI,USR01902,19,6,Sunday,1,Jan,2023,2023-01-01,1,0,7.587822285836725,Medium (1K-10K),0,11,0.09090909090909091,New
TXN0000118,2023-01-01 20:05:39,2736.11,Success,Healthcare,Mobile,East,UPI,USR05019,20,6,Sunday,1,Jan,2023,2023-01-01,1,0,7.9146578982221225,Medium (1K-10K),0,10,0.1,New
TXN0000119,2023-01-01 20:19:30,13192.67,Success,Travel,Mobile,Central,Credit Card,USR09004,20,6,Sunday,1,Jan,2023,2023-01-01,1,0,9.487492448101223,High (10K-50K),0,10,0.1,New
TXN0000120,2023-01-01 20:24:07,1076.35,Success,Utilities,Mobile,North,Debit Card,USR05493,20,6,Sunday,1,Jan,2023,2023-01-01,1,0,6.9822596011502425,Medium (1K-10K),0,12,0.16666666666666666,New
TXN0000121,2023-01-01 20:24:44,709.3,Failed,Electronics,Desktop,Central,Credit Card,USR00023,20,6,Sunday,1,Jan,2023,2023-01-01,1,0,6.565687416003764,Low (<1K),1,10,0.1,New
TXN0000122,2023-01-01 20:26:38,11066.94,Success,Food & Dining,Desktop,East,Credit Card,USR05086,20,6,Sunday,1,Jan,2023,2023-01-01,1,0,9.311807919858513,High (10K-50K),0,7,0.2857142857142857,New
TXN0000123,2023-01-01 20:42:22,3332.71,Success,Retail,Mobile,West,UPI,USR06703,20,6,Sunday,1,Jan,2023,2023-01-01,1,0,8.111841076924055,Medium (1K-10K),0,16,0.25,Returning
TXN0000124,2023-01-01 20:43:24,1088.78,Success,Utilities,Mobile,East,UPI,USR04699,20,6,Sunday,1,Jan,2023,2023-01-01,1,0,6.993731119989407,Medium (1K-10K),0,9,0.1111111111111111,New
TXN0000125,2023-01-01 21:00:57,6416.98,Success,Utilities,Mobile,South,UPI,USR09135,21,6,Sunday,1,Jan,2023,2023-01-01,1,0,8.766858705429359,Medium (1K-10K),0,9,0.2222222222222222,New
TXN0000126,2023-01-01 21:03:42,190.2,Failed,Food & Dining,Mobile,South,UPI,USR03366,21,6,Sunday,1,Jan,2023,2023-01-01,1,0,5.2533200006173,Low (<1K),1,14,0.14285714285714285,New
